ORF,GENE,s coeff nominal,s coeff nacl,DIFF,Name,Function
YIR012W,SQT1,-7.58E-05,0.005522011,0.005597799,0,Essential protein involved in a late step of 60S ribosomal subunit assembly or modification; contains multiple WD repeats; interacts with Qsr1p in a two-hybrid assay
YOR272W,YTM1,-7.07E-05,0.000667729,0.000738422,0,"Constituent of 66S pre-ribosomal particles, forms a complex with Nop7p and Erb1p that is required for maturation of the large ribosomal subunit; has seven C-terminal WD repeats"
YOR250C,CLP1,-4.77E-05,0.006383944,0.006431626,CLeavage/Polyadenylation factor Ia subunit,"Component of the cleavage and polyadenylation factor I (CF I); CF 1, composed of the CF 1A complex (Rna14p, Rna15p, Clp1p, Pcf11p) and Hrp1, is involved in cleavage and polyadenylation of mRNA 3' ends; involved in both the endonucleolyitc cleavage and polyadenylation steps of mRNA 3'-end maturation"
YLL011W,SOF1,-3.77E-05,-0.010032862,0.009995131,Suppressor Of Fibrillarin,Essential protein required for biogenesis of 40S (small) ribosomal subunit; has similarity to the beta subunit of trimeric G-proteins and the splicing factor Prp4p
YHR197W,RIX1,-2.31E-05,-0.000288893,0.000265784,RIbosome eXport,"Essential component of the Rix1 complex (Rix1p, Ipi1p, Ipi3p) that is required for processing of ITS2 sequences from 35S pre-rRNA; Rix1 complex associates with Mdn1p in pre-60S ribosomal particles"
YDL207W,GLE1,0,0.005595273,0.005595273,GLFG (glycine-leucine-phenylalanine-glycine) LEthal,"Cytoplasmic nucleoporin required for polyadenylated RNA export; not essential for protein import; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export"
YDR328C,SKP1,0,0.004874945,0.004874945,Suppressor of Kinetochore Protein mutant,"Evolutionarily conserved kinetochore protein that is part of multiple protein complexes, including the SCF ubiquitin ligase complex, the CBF3 complex that binds centromeric DNA, and the RAVE complex that regulates assembly of the V-ATPase"
YGL120C,PRP43,0,0.001490284,0.001490284,Pre-mRNA Processing,"RNA helicase in the DEAH-box family, functions in both RNA polymerase I and polymerase II transcript metabolism, involved in release of the lariat-intron from the spliceosome"
YPL210C,SRP72,0,-0.000197377,0.000197377,Signal Recognition Particle,Core component of the signal recognition particle (SRP) ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane
YMR128W,ECM16,0,-0.003113658,0.003113658,ExtraCellular Mutant,"Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP, predominantly nucleolar in distribution, required for 18S rRNA synthesis"
YBR004C,GPI18,0,-0.003266616,0.003266616,GlycosylPhosphatidylInositol,"Functional ortholog of human PIG-V, which is a mannosyltransferase that transfers the second mannose in glycosylphosphatidylinositol biosynthesis; the authentic, non-tagged protein was localized to mitochondria"
YBR091C,TIM12,1.61E-05,0.005741487,0.005725389,Translocase of the Inner Membrane,"Essential protein of the inner mitochondrial membrane, peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning inner membrane proteins"
YGR179C,OKP1,2.13E-05,-0.006233239,0.00625456,Outer Kinetochore Protein,"Outer kinetochore protein, required for accurate mitotic chromosome segregation; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) that functions as a platform for kinetochore assembly"
YPR187W,RPO26,2.31E-05,-0.000490933,0.000514042,RNA POlymerase,"RNA polymerase subunit ABC23, common to RNA polymerases I, II, and III; part of central core; similar to bacterial omega subunit"
YJL041W,NSP1,2.44E-05,-0.007436245,0.007460619,NucleoSkeletal-like Protein,"FG-nucleoporin component of central core of the nuclear pore complex (NPC); also part of the NPC nuclear basket; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier; found in stable complex with Nup82p, Gle2p and two other FG-nucleoporins (Nup159p and Nup116p); also found in stable complex with Nic96p and two other FG-nucleoproteins (Nup49p and Nup57p)"
YML114C,TAF8,3.77E-05,-0.00415462,0.004192352,TATA binding protein-Associated Factor,"TFIID subunit (65 kDa), involved in RNA polymerase II transcription initiation"
YPL175W,SPT14,4.77E-05,-0.00192959,0.001977271,SuPpressor of Ty,"UDP-GlcNAc-binding and catalytic subunit of the enzyme that mediates the first step in glycosylphosphatidylinositol (GPI) biosynthesis, mutations cause defects in transcription and in biogenesis of cell wall proteins"
YOR310C,NOP58,5.52E-05,-0.002349558,0.002404757,NucleOlar Protein of 58 kDa,"Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis; component of the small subunit processome complex, which is required for processing of pre-18S rRNA"
YJL035C,TAD2,7.58E-05,-0.011595588,0.011671376,tRNA-specific Adenosine Deaminase,"Subunit of tRNA-specific adenosine-34 deaminase, forms a heterodimer with Tad3p that converts adenosine to inosine at the wobble position of several tRNAs"
YNL263C,YIF1,8.10E-05,0.001994891,0.001913877,YIP1-Interacting Factor,"Integral membrane protein required for the fusion of ER-derived COPII transport vesicles with the Golgi; interacts with Yip1p and Yos1p; localizes to the Golgi, the ER, and COPII vesicles; homolog of human YIPF3"
YJL090C,DPB11,9.27E-05,0.000986583,0.000893869,DNA Polymerase B (II),Replication initiation protein that loads DNA pol epsilon onto pre-replication complexes at origins; checkpoint sensor recruited to stalled replication forks by the checkpoint clamp complex where it activates Mec1p; ortholog of human TopBP1
YDL092W,SRP14,0.000140759,0.00077545,0.000634691,Signal Recognition Particle,"Signal recognition particle (SRP) subunit, interacts with the RNA component of SRP to form the Alu domain, which is the region of SRP responsible for arrest of nascent chain elongation during membrane targeting; homolog of mammalian SRP14"
YDR361C,BCP1,0.000142415,0.006576589,0.006434174,0,"Essential protein involved in nuclear export of Mss4p, which is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport"
YBR243C,ALG7,0.000156143,-0.010699519,0.010855662,Asparagine-Linked Glycosylation,"UDP-N-acetyl-glucosamine-1-P transferase, transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin"
YKL154W,SRP102,0.00017347,0.003709006,0.003535536,Signal Recognition Particle,"Signal recognition particle (SRP) receptor beta subunit; involved in SRP-dependent protein targeting; anchors the alpha subunit, Srp101p to the ER membrane"
YJR093C,FIP1,0.000177485,-0.006478658,0.006656144,Factor Interacting with Poly(A) polymerase,"Subunit of cleavage polyadenylation factor (CPF), interacts directly with poly(A) polymerase (Pap1p) to regulate its activity; bridging factor that links Pap1p and the CPF complex via Yth1p"
YPL169C,MEX67,0.00021523,0.000690443,0.000475213,Messenger RNA EXport factor of 67 kDa,"Poly(A)RNA binding protein involved in nuclear mRNA export, component of the nuclear pore; ortholog of human TAP"
YPL094C,SEC62,0.000219257,0.000323131,0.000103873,SECretory,"Essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER"
YIL021W,RPB3,0.0002323,,0.0002323,RNA Polymerase B,"RNA polymerase II third largest subunit B44, part of central core; similar to prokaryotic alpha subunit"
YEL026W,SNU13,0.000235812,0.003331095,0.003095283,Small NUclear ribonucleoprotein associated,"RNA binding protein, part of U3 snoRNP involved in rRNA processing, part of U4/U6-U5 tri-snRNP involved in mRNA splicing, similar to human 15.5K protein"
YFR003C,YPI1,0.000266013,0.000609088,0.000343076,Yeast Phosphatase Inhibitor,"Regulatory subunit of the type I protein phosphatase (PP1) Glc7p; Glc7p participates in the regulation of a variety of metabolic processes including mitosis and glycogen metabolism; in vitro evidence suggests Ypi1p is an inhibitor of Glc7p while in vivo evidence suggests it is an activator; overproduction causes decreased cellular content of glycogen; partial depletion causes lithium sensitivity, while overproduction confers lithium-tolerance"
YJR017C,ESS1,0.000275145,-0.00082833,0.001103475,ESSential,Peptidylprolyl-cis/trans-isomerase (PPIase); specific for phosphorylated serine and threonine residues N-terminal to proline; regulates phosphorylation of the RNAP II large subunit (Rpo21p) C-terminal domain (CTD); associates with phospho-Ser5 form of RNAP II in vivo; regulates phosphorylation of Ser7 within CTD; present along entire coding length of genes; represses initiation of CUTs; required for efficient termination of mRNA transcription and trimethylation of histone H3
YPL083C,SEN54,0.000278438,-0.000323131,0.000601568,Splicing ENdonuclease,"Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p"
YER025W,GCD11,0.000286658,-0.020383202,0.020669859,General Control Derepressed,"Gamma subunit of the translation initiation factor eIF2, involved in the identification of the start codon; binds GTP when forming the ternary complex with GTP and tRNAi-Met"
YPL217C,BMS1,0.000317973,-0.00391211,0.004230084,BMh Sensitive,"GTPase required for synthesis of 40S ribosomal subunits and for processing the 35S pre-rRNA at sites A0, A1, and A2; interacts with Rcl1p, which stimulates its GTPase and U3 snoRNA binding activities; has similarity to Tsr1p"
YML105C,SEC65,0.000324237,-0.003241154,0.003565391,SECretory,"Subunit of the signal recognition particle (SRP), involved in protein targeting to the ER; interacts with Srp54p; homolog of mammalian SRP19"
YKL122C,SRP21,0.000334998,0.002168729,0.001833731,Signal Recognition Particle,"Subunit of the signal recognition particle (SRP), which functions in protein targeting to the endoplasmic reticulum membrane; not found in mammalian SRP; forms a pre-SRP structure in the nucleolus that is translocated to the cytoplasm"
YIL046W,MET30,0.000335192,0.000344865,9.67E-06,METhionine requiring,"F-box protein containing five copies of the WD40 motif, controls cell cycle function, sulfur metabolism, and methionine biosynthesis as part of the ubiquitin ligase complex; interacts with and regulates Met4p, localizes within the nucleus"
YDL097C,RPN6,0.000350447,-0.004132151,0.004482598,Regulatory Particle Non-ATPase,"Essential, non-ATPase regulatory subunit of the 26S proteasome lid required for the assembly and activity of the 26S proteasome; the human homolog (S9 protein) partially rescues Rpn6p depletion"
YIL104C,SHQ1,0.000350488,-0.003752664,0.004103152,Small nucleolar RNAs of the box H/ACA family Quantitative accumulation,"Chaperone protein required for the assembly of box H/ACA snoRNPs and thus for pre-rRNA processing, forms a complex with Naf1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p; homology with known Hsp90p cochaperones"
YKL013C,ARC19,0.000364103,-0.001815698,0.002179801,ARp2/3 Complex subunit,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches"
YGR278W,CWC22,0.000372165,-0.001702019,0.002074184,Complexed With Cef1p,Spliceosome-associated protein that is required for pre-mRNA splicing; necessary for Prp2p function at the first catalytic step of splicing; has similarity to S. pombe Cwf22p; CWC22 is an essential protein
YNL152W,INN1,0.000381805,0.0088103,0.008428495,required for INgressioN,"Essential protein that associates with the contractile actomyosin ring, required for ingression of the plasma membrane into the bud neck during cytokinesis; C2 domain, a membrane targeting module, is required for function"
YDL166C,FAP7,0.000385078,0.002206582,0.001821505,Factor Activating Pos9,"Essential NTPase required for small ribosome subunit synthesis, mediates processing of the 20S pre-rRNA at site D in the cytoplasm but associates only transiently with 43S preribosomes via Rps14p, may be the endonuclease for site D"
YIL075C,RPN2,0.000390533,-0.002382296,0.002772828,Regulatory Particle Non-ATPase,"Subunit of the 26S proteasome, substrate of the N-acetyltransferase Nat1p"
YOR103C,OST2,0.00039129,-0.00032734,0.00071863,OligoSaccharylTransferase,"Epsilon subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins"
YDR145W,TAF12,0.000446786,-0.007366942,0.007813728,TATA binding protein-Associated Factor,"Subunit (61/68 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H2A"
YLR222C,UTP13,0.000485362,0.012903596,0.012418233,U Three Protein,"Nucleolar protein, component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
YIL051C,MMF1,0.000492349,-0.021440417,0.021932766,Mitochondrial Matrix Factor,Mitochondrial protein required for transamination of isoleucine but not of valine or leucine; may regulate specificity of branched-chain transaminases Bat1p and Bat2p; interacts genetically with mitochondrial ribosomal protein genes
YLR009W,RLP24,0.00050019,-0.003926373,0.004426563,Ribosomal-Like Protein,"Essential protein with similarity to Rpl24Ap and Rpl24Bp, associated with pre-60S ribosomal subunits and required for ribosomal large subunit biogenesis"
YLL003W,SFI1,0.000531503,-0.016451453,0.016982956,Suppressor of Fermentation Induced loss of stress resistance,"Centrin (Cdc31p)-binding protein required for spindle pole body (SPB) duplication, localizes to the half-bridge of the SPB, required for progression through G(2)-M transition, has similarity to Xenopus laevis XCAP-C"
YOR361C,PRT1,0.000569123,0.003738517,0.003169393,PRoTein synthesis,"eIF3b subunit of the core complex of translation initiation factor 3 (eIF3), essential for translation; part of a subcomplex (Prt1p-Rpg1p-Nip1p) that stimulates binding of mRNA and tRNA(i)Met to ribosomes"
YHR101C,BIG1,0.000582547,0.00504373,0.004461183,Bad In Glucose,"Integral membrane protein of the endoplasmic reticulum, required for normal content of cell wall beta-1,6-glucan"
YGR095C,RRP46,0.00064478,0.002335514,0.001690735,Ribosomal RNA Processing,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp46p (EXOSC5)
YDR166C,SEC5,0.000657654,0.002579755,0.001922101,SECretory,"Essential 107kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediating polarized targeting of secretory vesicles to active sites of exocytosis"
YIL115C,NUP159,0.000658073,-0.007848592,0.008506664,NUclear Pore,"FG-nucleoporin component of central core of the nuclear pore complex (NPC); also part of the NPC cytoplasmic filaments; contributes directly to nucleocytoplasmic transport; regulates ADP release from the ATP-dependent RNA helicase Dbp5p; forms a stable association with Nup82p, Gle2p and two other FG-nucleoporins (Nsp1p and Nup116p)"
YMR239C,RNT1,0.00067702,-0.024930488,0.025607507,RNase Three,RNAase III; involved in rDNA transcription and rRNA processing; also cleaves a stem-loop structure at the 3' end of U2 snRNA to ensure formation of the correct U2 3' end; involved in polyadenylation-independent transcription termination
YPR048W,TAH18,0.000686099,0.007078661,0.006392563,Top1T722A mutant Hypersensitive,"Conserved NAPDH-dependent diflavin reductase, component of an early step in the cytosolic Fe-S protein assembly (CIA) machinery; transfers electrons from NADPH to the Fe-S cluster of Dre2p; plays a pro-death role under oxidative stress"
YGL011C,SCL1,0.000706015,0.008066296,0.007360281,Suppressor of Crl3 Lethality,Alpha 1 subunit of the 20S proteasome involved in the degradation of ubiquitinated substrates; 20S proteasome is the core complex of the 26S proteasome; essential for growth; detected in the mitochondria
YOR020C,HSP10,0.00074004,0.002954677,0.002214637,Heat Shock Protein,"Mitochondrial matrix co-chaperonin that inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin; involved in protein folding and sorting in the mitochondria; 10 kD heat shock protein with similarity to E. coli groES"
YOR046C,DBP5,0.000751214,-0.000353998,0.001105213,Dead Box Protein,Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family; involved in mRNA export from the nucleus; involved in translation termination; ATP/ADP cycling is regulated by Gle1p and Nup159p
YML126C,ERG13,0.000784001,0.004015094,0.003231093,ERGosterol biosynthesis,"3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase, catalyzes the formation of HMG-CoA from acetyl-CoA and acetoacetyl-CoA; involved in the second step in mevalonate biosynthesis"
YLR186W,EMG1,0.000808709,-0.000373366,0.001182075,Essential for Mitotic Growth,Member of the alpha/beta knot fold methyltransferase superfamily; required for maturation of 18S rRNA and for 40S ribosome production; interacts with RNA and with S-adenosylmethionine; associates with spindle/microtubules; forms homodimers; human ortholog is mutated in Bowen-Conradi syndrome
YDL148C,NOP14,0.000838132,-0.003661753,0.004499885,NucleOlar Protein,"Nucleolar protein, forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits; also present in the small subunit processome complex, which is required for processing of pre-18S rRNA"
YPR113W,PIS1,0.000847002,0.010921834,0.010074832,Phosphatidyl Inositol Synthase,"Phosphatidylinositol synthase, required for biosynthesis of phosphatidylinositol, which is a precursor for polyphosphoinositides, sphingolipids, and glycolipid anchors for some of the plasma membrane proteins"
YFL017C,GNA1,0.000865706,-0.001893501,0.002759207,GlucosamiNe-6-phosphate Acetyltransferase,"Evolutionarily conserved glucosamine-6-phosphate acetyltransferase required for multiple cell cycle events including passage through START, DNA synthesis, and mitosis; involved in UDP-N-acetylglucosamine synthesis, forms GlcNAc6P from AcCoA"
YIL068C,SEC6,0.000874676,-0.003045794,0.003920469,SECretory,"Essential 88kDa subunit of the exocyst complex, which mediates polarized targeting of secretory vesicles to active sites of exocytosis; dimeric form of Sec6p interacts with Sec9p in vitro and inhibits t-SNARE assembly"
YJL111W,CCT7,0.000881907,0.008736469,0.007854562,Chaperonin Containing TCP-1,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo; mutant has increased aneuploidy tolerance"
YHR107C,CDC12,0.000896357,0.002035997,0.00113964,Cell Division Cycle,Component of the septin ring that is required for cytokinesis; septins are GTP-binding proteins that assemble into rod-like hetero-oligomers that can associate with other rods to form filaments; septin rings at the mother-bud neck act as scaffolds for recruiting cell division factors and as barriers to prevent diffusion of specific proteins between mother and daughter cells
YLR291C,GCD7,0.000925241,0.000261037,0.000664204,General Control Nonderepressible,"Beta subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression"
YGL116W,CDC20,0.000954059,0,0.000954059,Cell Division Cycle,"Cell-cycle regulated activator of anaphase-promoting complex/cyclosome (APC/C), which is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; potential Cdc28p substrate"
YPR056W,TFB4,0.000956853,0.004954616,0.003997763,Transcription Factor B subunit 4,"Subunit of TFIIH complex, involved in transcription initiation, similar to 34 kDa subunit of human TFIIH; interacts with Ssl1p"
YNR035C,ARC35,0.000968694,8.43E-05,0.000884375,ARp2/3 Complex subunit,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches; required for cortical localization of calmodulin"
YIR008C,PRI1,0.000982089,0.002050691,0.001068601,DNA PRImase,"Subunit of DNA primase, which is required for DNA synthesis and double-strand break repair"
YDR188W,CCT6,0.000982426,0.002963302,0.001980876,Chaperonin Containing TCP-1,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, essential protein that is required for the assembly of actin and tubulins in vivo; contains an ATP-binding motif"
YOR063W,RPL3,0.00100155,0.011166488,0.010164938,Ribosomal Protein of the Large subunit,"Protein component of the large (60S) ribosomal subunit, has similarity to E. coli L3 and rat L3 ribosomal proteins; involved in the replication and maintenance of killer double stranded RNA virus"
YLR132C,USB1,0.001009917,0.008633531,0.007623613,U Six Biogenesis,Essential protein that localizes to the nucleus and mitochondria; overexpression suppresses the respiratory defects of oxa1 and mtf2 mutants
YBL050W,SEC17,0.001027172,0.006391785,0.005364613,SECretory,"Peripheral membrane protein required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, and autophagy; stimulates the ATPase activity of Sec18p; has similarity to mammalian alpha-SNAP"
YGL044C,RNA15,0.001086517,-7.54E-07,0.001087271,RNA synthesis,"Component of the cleavage and polyadenylation factor I (CF I); CF 1, composed of the CF 1A complex (Rna14p, Rna15p, Clp1p, Pcf11p) and Hrp1, is involved in cleavage and polyadenylation of mRNA 3' ends; interacts with the A-rich polyadenylation signal in complex with Rna14p and Hrp1p; mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay; required for gene looping"
YGL128C,CWC23,0.001091571,0.000918382,0.000173189,Complexed With Cef1p,"Component of a complex containing Cef1p, putatively involved in pre-mRNA splicing; has similarity to E. coli DnaJ and other DnaJ-like proteins and to S. pombe Cwf23p"
YLR208W,SEC13,0.001094908,0.004220282,0.003125374,SECretory,"Structural component of three distinct complexes; subunit of the Nup84 nuclear pore sub-complex (NPC), the COPII vesicle coat, and the Seh1-associated (SEA) complex; the COPII vesicle coat is required for vesicle formation in ER to Golgi transport; the Nup84 subcomplex contributes to nucleocytoplasmic transport, NPC biogenesis and processes that may require localization of genes or chromosomes at the nuclear periphery including transcription; homologous to human SEC13"
YGL068W,MNP1,0.00111416,0.004958228,0.003844068,Mitochondrial-Nucleoid Protein,Protein associated with the mitochondrial nucleoid; putative mitochondrial ribosomal protein with similarity to E. coli L7/L12 ribosomal protein; required for normal respiratory growth
YOR262W,GPN2,0.001127933,0.002160609,0.001032676,0,Protein of unknown function required for establishment of sister chromatid cohesion; contains an ATP/GTP binding site motif; similar to YLR243W and is highly conserved across species and homologous to human gene GPN2/ATPBD1B
YDL064W,UBC9,0.001135322,-0.000173819,0.001309142,UBiquitin-Conjugating,SUMO-conjugating enzyme involved in the Smt3p conjugation pathway; nuclear protein required for S- and M-phase cyclin degradation and mitotic control; involved in proteolysis mediated by the anaphase-promoting complex cyclosome (APCC)
YLR022C,SDO1,0.001141379,0.000901609,0.000239771,0,"Essential protein involved in ribosome maturation; with Ria1p, promotes release of Tif6p from 60S ribosomal subunits in the cytoplasm so that they can assemble with 40S subunits to generate mature ribosomes; ortholog of the human protein (SBDS) responsible for autosomal recessive Shwachman-Bodian-Diamond Syndrome; highly conserved across archaea and eukaryotes"
YBR237W,PRP5,0.001145242,-0.00090715,0.002052392,Pre-mRNA Processing,"RNA helicase in the DEAD-box family, necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA"
YOR244W,ESA1,0.001147759,0.003565962,0.002418203,0,Catalytic subunit of the histone acetyltransferase complex (NuA4) that acetylates four conserved internal lysines of histone H4 N-terminal tail; required for cell cycle progression and transcriptional silencing at the rDNA locus
YHR122W,CIA2,0.001153751,0.000374559,0.000779193,Cytosolic Iron-sulfur protein Assembly,"Protein of unknown function required for establishment of sister chromatid cohesion; synthetically lethal with RFC5, an RF-C subunit that links replication to cohesion establishment; YHR122W is an essential gene"
YIL091C,UTP25,0.001165766,-0.003599795,0.004765562,U Three Protein,Nucleolar protein required for 35S pre-RNA processing and 40S ribosomal subunit biogenesis
YPL242C,IQG1,0.001187566,0.000819421,0.000368146,IQGAP-related protein,"Essential protein required for determination of budding pattern, promotes localization of axial markers Bud4p and Cdc12p and functionally interacts with Sec3p, localizes to the contractile ring during anaphase, member of the IQGAP family"
YGR211W,ZPR1,0.001207824,-0.003202832,0.004410657,Zinc finger PRotein,"Essential protein with two zinc fingers, present in the nucleus of growing cells but relocates to the cytoplasm in starved cells via a process mediated by Cpr1p; binds to translation elongation factor eEF-1 (Tef1p)"
YBR253W,SRB6,0.001224517,0.002131283,0.000906766,Suppressor of RNA polymerase B,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
YMR211W,DML1,0.001229459,-0.006595004,0.007824463,Drosophila melanogaster Misato-Like protein,"Essential protein involved in mtDNA inheritance, may also function in the partitioning of the mitochondrial organelle or in the segregation of chromosomes, exhibits regions similar to members of a GTPase family"
YKL089W,MIF2,0.001317752,0.000915299,0.000402453,MItotic Fidelity of chromosome transmission,"Kinetochore protein with homology to human CENP-C, required for structural integrity of the spindle during anaphase spindle elongation, interacts with histones H2A, H2B, and H4, phosphorylated by Ipl1p"
YLL031C,GPI13,0.001345689,0.000129185,0.001216505,GlycosylPhosphatidylInositol anchor biosynthesis,ER membrane localized phosphoryltransferase that adds phosphoethanolamine onto the third mannose residue of the glycosylphosphatidylinositol (GPI) anchor precursor; similar to human PIG-O protein
YJL203W,PRP21,0.00144912,0.004679467,0.003230347,Pre-mRNA Processing,"Subunit of the SF3a splicing factor complex, required for spliceosome assembly"
YKR008W,RSC4,0.00145706,0.000462474,0.000994586,Remodel the Structure of Chromatin,"Component of the RSC chromatin remodeling complex; found in close proximity to nucleosomal DNA; displaced from the surface of nucleosomal DNA after chromatin remodeling; acetylated (K25) by Gcn5p, altering replication stress tolerance; contains tandem bromodomains that recognize histone H3 acetylated on K14 (H3K14ac) by Gcn5p"
YOR278W,HEM4,0.0014686,0.00050748,0.00096112,HEMe biosynthesis,"Uroporphyrinogen III synthase, catalyzes the conversion of hydroxymethylbilane to uroporphyrinogen III, the fourth step in heme biosynthesis; deficiency in the human homolog can result in the disease congenital erythropoietic porphyria"
YOR117W,RPT5,0.001474774,0.005955505,0.004480731,"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase",One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1
YPL007C,TFC8,0.00149862,0.002354892,0.000856272,Transcription Factor C,One of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of TFIIIC TauB domain that binds BoxB promoter sites of tRNA and other genes; linker between TauB and TauA domains; human homolog is TFIIIC-90
YGL233W,SEC15,0.001506639,-0.014746954,0.016253593,SECretory,"Essential 113kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which mediates polarized targeting of vesicles to active sites of exocytosis; Sec15p associates with Sec4p and vesicles"
YER018C,SPC25,0.001521241,-0.000376897,0.001898138,Spindle Pole Component,"Component of the evolutionarily conserved kinetochore-associated Ndc80 complex (Ndc80p-Nuf2p-Spc24p-Spc25p); involved in chromosome segregation, spindle checkpoint activity and kinetochore clustering"
YNL251C,NRD1,0.001532756,-0.003924395,0.005457151,Nuclear pre-mRNA Down-regulation,"RNA-binding protein, subunit of Nrd1 complex (Nrd1p-Nab3p-Sen1p); complex interacts with the exosome to mediate 3&#8242; end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; interacts with the C-terminal domain of the RNA polymerase II large subunit (Rpo21p), preferentially at phosphorylated Ser5, to direct transcription termination of non-polyadenylated transcripts; H3K4 trimethylation of transcribed regions by Set1p enhances recruitment of Nrd1p to those sites;"
YKL052C,ASK1,0.00153969,0.006441199,0.004901509,Associated with Spindles and Kinetochores,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; phosphorylated during the cell cycle by cyclin-dependent kinases"
YBR247C,ENP1,0.001545139,0,0.001545139,Essential Nuclear Protein,"Protein associated with U3 and U14 snoRNAs, required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus"
YLR197W,NOP56,0.001568048,0.000489979,0.001078069,NucleOlar Protein of 56.8 kDa,Essential evolutionarily-conserved nucleolar protein component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects
YNL103W,MET4,0.001571012,0.009477787,0.007906775,METhionine requiring,"Leucine-zipper transcriptional activator, responsible for the regulation of the sulfur amino acid pathway, requires different combinations of the auxiliary factors Cbf1p, Met28p, Met31p and Met32p"
YPR088C,SRP54,0.001579336,0.006636026,0.00505669,Signal Recognition Particle,"Signal recognition particle (SRP) subunit (homolog of mammalian SRP54); contains the signal sequence-binding activity of SRP, interacts with the SRP RNA, and mediates binding of SRP to signal receptor; contains GTPase domain"
YML023C,NSE5,0.001589195,-0.000373316,0.001962511,Non-SMC Element 5,Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair
YDR211W,GCD6,0.001630892,-0.020599262,0.022230154,General Control Derepressed,"Catalytic epsilon subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression"
YNL188W,KAR1,0.001633407,0.004647548,0.003014141,KARyogamy,"Essential protein involved in karyogamy during mating and in spindle pole body duplication during mitosis, localizes to the half-bridge of the spindle pole body, interacts with Spc72p during karyogamy, also interacts with Cdc31p"
